Month,Day,Year,Hour,Minute,Flow_mgd,Velocity_fps,Depth_in
2,16,2008,18,30,1.372,2.27,7.7
2,16,2008,18,45,1.297,2.19,7.59
2,16,2008,19,0,1.433,2.36,7.74
2,16,2008,19,15,1.296,2.22,7.52
2,16,2008,19,30,1.255,2.13,7.56
2,16,2008,19,45,1.418,2.41,7.55
2,16,2008,20,0,1.379,2.36,7.53
2,16,2008,20,15,1.416,2.41,7.54
2,16,2008,20,30,1.132,1.98,7.41
2,16,2008,20,45,1.229,2.19,7.31
2,16,2008,21,0,1.197,2.13,7.31
2,16,2008,21,15,1.321,2.33,7.36
2,16,2008,21,30,1.326,2.33,7.38
2,16,2008,21,45,1.297,2.3,7.33
2,16,2008,22,0,1.296,2.27,7.39
2,16,2008,22,15,1.323,2.38,7.24
2,16,2008,22,30,1.257,2.22,7.36
2,16,2008,22,45,1.209,2.16,7.29
2,16,2008,23,0,1.159,2.1,7.21
2,16,2008,23,15,1.074,1.99,7.1
2,16,2008,23,30,1.146,2.16,7.02
2,16,2008,23,45,1.234,2.3,7.07
2,17,2008,0,0,1.057,2.05,6.88
2,17,2008,0,15,1.1,2.1,6.94
2,17,2008,0,30,1.091,2.19,6.71
2,17,2008,0,45,1.115,2.27,6.64
2,17,2008,1,0,1.136,2.27,6.73
2,17,2008,1,15,1.036,2.16,6.53
2,17,2008,1,30,1.032,2.16,6.51
2,17,2008,1,45,1.014,2.1,6.56
2,17,2008,2,0,0.993,2.19,6.28
2,17,2008,2,15,0.971,2.13,6.3
2,17,2008,2,30,0.928,2.1,6.16
2,17,2008,2,45,0.98,2.26,6.09
2,17,2008,3,0,0.998,2.24,6.19
2,17,2008,3,15,0.827,1.84,6.24
2,17,2008,3,30,0.97,2.16,6.23
2,17,2008,3,45,0.956,2.16,6.17
2,17,2008,4,0,0.875,2.02,6.08
2,17,2008,4,15,0.968,2.16,6.23
2,17,2008,4,30,0.895,2.08,6.06
2,17,2008,4,45,0.967,2.19,6.16
2,17,2008,5,0,0.904,2.1,6.04
2,17,2008,5,15,0.995,2.24,6.18
2,17,2008,5,30,0.768,1.82,5.96
2,17,2008,5,45,0.954,2.19,6.11
2,17,2008,6,0,0.894,2.05,6.11
2,17,2008,6,15,0.891,1.99,6.22
2,17,2008,6,30,0.966,2.08,6.39
2,17,2008,6,45,0.953,2.02,6.46
2,17,2008,7,0,1.026,2.1,6.61
2,17,2008,7,15,1.017,2.05,6.7
2,17,2008,7,30,1.218,2.36,6.89
2,17,2008,7,45,1.303,2.38,7.17
2,17,2008,8,0,1.221,2.19,7.27
2,17,2008,8,15,1.259,2.24,7.3
2,17,2008,8,30,1.289,2.16,7.63
2,17,2008,8,45,1.282,2.13,7.67
2,17,2008,9,0,1.37,2.13,8.05
2,17,2008,9,15,1.416,2.16,8.17
2,17,2008,9,30,1.575,2.36,8.28
2,17,2008,9,45,1.725,2.41,8.69
2,17,2008,10,0,1.599,2.24,8.67
2,17,2008,10,15,1.647,2.44,8.34
2,17,2008,10,30,1.966,2.75,8.7
2,17,2008,10,45,1.989,2.78,8.71
2,17,2008,11,0,1.872,2.55,8.86
2,17,2008,11,15,2.058,2.82,8.83
2,17,2008,11,30,1.939,2.61,8.94
2,17,2008,11,45,2.089,2.83,8.89
2,17,2008,12,0,1.959,2.69,8.8
2,17,2008,12,15,1.879,2.61,8.74
2,17,2008,12,30,2.037,2.78,8.86
2,17,2008,12,45,2.077,2.8,8.92
2,17,2008,13,0,1.911,2.69,8.65
2,17,2008,13,15,2.099,2.86,8.86
2,17,2008,13,30,1.908,2.61,8.84
2,17,2008,13,45,1.879,2.69,8.54
2,17,2008,14,0,1.994,2.83,8.59
2,17,2008,14,15,2.006,2.69,8.96
2,17,2008,14,30,1.709,2.5,8.43
2,17,2008,14,45,1.74,2.47,8.6
2,17,2008,15,0,1.917,2.69,8.67
2,17,2008,15,15,1.875,2.55,8.86
2,17,2008,15,30,1.937,2.66,8.8
2,17,2008,15,45,1.818,2.64,8.47
2,17,2008,16,0,1.944,2.75,8.63
2,17,2008,16,15,1.872,2.52,8.93
2,17,2008,16,30,1.717,2.41,8.66
2,17,2008,16,45,1.875,2.61,8.73
2,17,2008,17,0,1.743,2.44,8.69
2,17,2008,17,15,1.851,2.58,8.71
2,17,2008,17,30,1.672,2.36,8.65
2,17,2008,17,45,1.555,2.27,8.42
2,17,2008,18,0,1.644,2.3,8.69
2,17,2008,18,15,1.764,2.47,8.69
2,17,2008,18,30,1.89,2.61,8.78
2,17,2008,18,45,1.727,2.41,8.7
2,17,2008,19,0,1.496,2.24,8.26
2,17,2008,19,15,1.854,2.61,8.66
2,17,2008,19,30,1.772,2.58,8.44
2,17,2008,19,45,1.846,2.64,8.56
2,17,2008,20,0,1.75,2.47,8.64
2,17,2008,20,15,1.631,2.3,8.64
2,17,2008,20,30,1.715,2.41,8.66
2,17,2008,20,45,1.754,2.47,8.66
2,17,2008,21,0,1.594,2.27,8.57
2,17,2008,21,15,1.723,2.5,8.47
2,17,2008,21,30,1.58,2.3,8.44
2,17,2008,21,45,1.527,2.24,8.39
2,17,2008,22,0,1.675,2.44,8.44
2,17,2008,22,15,1.403,2.19,8.03
2,17,2008,22,30,1.492,2.24,8.25
2,17,2008,22,45,1.516,2.3,8.2
2,17,2008,23,0,1.477,2.38,7.84
2,17,2008,23,15,1.509,2.47,7.76
2,17,2008,23,30,1.477,2.33,7.97
2,17,2008,23,45,1.356,2.19,7.84
2,18,2008,0,0,1.314,2.22,7.6
2,18,2008,0,15,1.376,2.36,7.51
2,18,2008,0,30,1.282,2.22,7.47
2,18,2008,0,45,1.15,2.02,7.38
2,18,2008,1,0,1.207,2.24,7.09
2,18,2008,1,15,1.228,2.27,7.11
2,18,2008,1,30,1.241,2.22,7.29
2,18,2008,1,45,1.326,2.38,7.26
2,18,2008,2,0,1.265,2.36,7.08
2,18,2008,2,15,1.228,2.3,7.05
2,18,2008,2,30,1.326,2.41,7.2
2,18,2008,2,45,1.177,2.22,7.02
2,18,2008,3,0,1.272,2.36,7.1
2,18,2008,3,15,1.13,2.19,6.88
2,18,2008,3,30,1.203,2.27,7
2,18,2008,3,45,1.172,2.19,7.06
2,18,2008,4,0,1.123,2.1,7.05
2,18,2008,4,15,1.137,2.19,6.91
2,18,2008,4,30,1.139,2.16,6.99
2,18,2008,4,45,1.183,2.24,6.98
2,18,2008,5,0,1.106,2.08,7.04
2,18,2008,5,15,1.23,2.27,7.12
2,18,2008,5,30,1.196,2.22,7.1
2,18,2008,5,45,1.402,2.44,7.43
2,18,2008,6,0,1.261,2.22,7.38
2,18,2008,6,15,1.488,2.55,7.5
2,18,2008,6,30,1.596,2.55,7.89
2,18,2008,6,45,1.331,2.06,8.07
2,18,2008,7,0,1.551,2.36,8.19
2,18,2008,7,15,1.472,2.24,8.17
2,18,2008,7,30,1.518,2.41,7.93
2,18,2008,7,45,1.572,2.41,8.13
2,18,2008,8,0,1.597,2.38,8.29
2,18,2008,8,15,1.422,2.19,8.11
2,18,2008,8,30,1.463,2.19,8.28
2,18,2008,8,45,1.634,2.47,8.22
2,18,2008,9,0,1.455,2.19,8.25
2,18,2008,9,15,1.514,2.27,8.26
2,18,2008,9,30,1.681,2.44,8.46
2,18,2008,9,45,1.629,2.36,8.48
2,18,2008,10,0,1.634,2.41,8.36
2,18,2008,10,15,1.73,2.52,8.43
2,18,2008,10,30,1.517,2.19,8.5
2,18,2008,10,45,1.639,2.38,8.45
2,18,2008,11,0,1.76,2.52,8.53
2,18,2008,11,15,1.674,2.44,8.44
2,18,2008,11,30,1.63,2.36,8.49
2,18,2008,11,45,1.531,2.22,8.48
2,18,2008,12,0,1.497,2.3,8.12
2,18,2008,12,15,1.587,2.41,8.18
2,18,2008,12,30,1.665,2.5,8.27
2,18,2008,12,45,1.568,2.38,8.18
2,18,2008,13,0,1.615,2.41,8.29
2,18,2008,13,15,1.506,2.3,8.16
2,18,2008,13,30,1.556,2.36,8.21
2,18,2008,13,45,1.628,2.44,8.27
2,18,2008,14,0,1.508,2.27,8.24
2,18,2008,14,15,1.435,2.16,8.24
2,18,2008,14,30,1.568,2.41,8.11
2,18,2008,14,45,1.583,2.41,8.17
2,18,2008,15,0,1.556,2.41,8.07
2,18,2008,15,15,1.645,2.55,8.06
2,18,2008,15,30,1.497,2.41,7.85
2,18,2008,15,45,1.454,2.33,7.89
2,18,2008,16,0,1.474,2.3,8.03
2,18,2008,16,15,1.558,2.5,7.88
2,18,2008,16,30,1.503,2.36,8
2,18,2008,16,45,1.666,2.55,8.14
2,18,2008,17,0,1.5,2.33,8.06
2,18,2008,17,15,1.516,2.3,8.2
2,18,2008,17,30,1.481,2.3,8.06
2,18,2008,17,45,1.392,2.19,7.99
2,18,2008,18,0,1.342,2.08,8.08
2,18,2008,18,15,1.528,2.33,8.17
2,18,2008,18,30,1.495,2.3,8.12
2,18,2008,18,45,1.667,2.44,8.41
2,18,2008,19,0,1.679,2.47,8.38
2,18,2008,19,15,1.571,2.41,8.13
2,18,2008,19,30,1.669,2.47,8.35
2,18,2008,19,45,1.503,2.24,8.29
2,18,2008,20,0,1.519,2.27,8.28
2,18,2008,20,15,1.45,2.19,8.23
2,18,2008,20,30,1.697,2.52,8.31
2,18,2008,20,45,1.591,2.38,8.27
2,18,2008,21,0,1.552,2.3,8.34
2,18,2008,21,15,1.606,2.41,8.26
2,18,2008,21,30,1.496,2.16,8.49
2,18,2008,21,45,1.444,2.16,8.28
2,18,2008,22,0,1.467,2.27,8.08
2,18,2008,22,15,1.534,2.36,8.12
2,18,2008,22,30,1.455,2.33,7.89
2,18,2008,22,45,1.418,2.24,7.95
2,18,2008,23,0,1.386,2.3,7.68
2,18,2008,23,15,1.41,2.44,7.46
2,18,2008,23,30,1.34,2.27,7.57
2,18,2008,23,45,1.22,2.22,7.21
2,19,2008,0,0,1.179,2.19,7.09
2,19,2008,0,15,1.135,2.08,7.17
2,19,2008,0,30,1.089,2.1,6.89
2,19,2008,0,45,1.089,2.16,6.77
2,19,2008,1,0,1.033,2.08,6.71
2,19,2008,1,15,1.103,2.16,6.83
2,19,2008,1,30,0.999,2.08,6.55
2,19,2008,1,45,0.982,2.02,6.6
2,19,2008,2,0,0.994,2.02,6.65
2,19,2008,2,15,0.942,1.94,6.6
2,19,2008,2,30,0.985,2.16,6.3
2,19,2008,2,45,1.002,2.1,6.5
2,19,2008,3,0,1.051,2.24,6.42
2,19,2008,3,15,1.087,2.34,6.38
2,19,2008,3,30,0.968,2.08,6.4
2,19,2008,3,45,0.927,1.96,6.46
2,19,2008,4,0,0.963,2.1,6.32
2,19,2008,4,15,0.952,2.05,6.39
2,19,2008,4,30,1.005,2.22,6.28
2,19,2008,4,45,0.96,2.02,6.49
2,19,2008,5,0,1.01,2.05,6.66
2,19,2008,5,15,1.087,2.13,6.82
2,19,2008,5,30,1.087,2.02,7.09
2,19,2008,5,45,1.077,1.99,7.11
2,19,2008,6,0,1.181,2.08,7.37
2,19,2008,6,15,1.404,2.33,7.69
2,19,2008,6,30,1.308,2.16,7.71
2,19,2008,6,45,1.204,1.99,7.7
2,19,2008,7,0,1.308,2.1,7.86
2,19,2008,7,15,1.308,2.08,7.93
2,19,2008,7,30,1.417,2.24,7.95
2,19,2008,7,45,1.52,2.33,8.14
2,19,2008,8,0,1.309,2.08,7.94
2,19,2008,8,15,1.219,1.96,7.85
2,19,2008,8,30,1.19,1.94,7.8
2,19,2008,8,45,1.144,1.91,7.66
2,19,2008,9,0,1.316,2.13,7.82
2,19,2008,9,15,1.141,1.94,7.56
2,19,2008,9,30,1.233,2.05,7.68
2,19,2008,9,45,1.174,1.94,7.72
2,19,2008,10,0,1.302,2.19,7.62
2,19,2008,10,15,1.342,2.29,7.54
2,19,2008,10,30,1.197,2.05,7.52
2,19,2008,10,45,1.349,2.19,7.81
2,19,2008,11,0,1.343,2.27,7.58
2,19,2008,11,15,1.366,2.3,7.61
2,19,2008,11,30,1.316,2.27,7.47
2,19,2008,11,45,1.308,2.27,7.44
2,19,2008,12,0,1.361,2.27,7.65
2,19,2008,12,15,1.183,2.08,7.39
2,19,2008,12,30,1.354,2.3,7.56
2,19,2008,12,45,1.33,2.3,7.46
2,19,2008,13,0,1.364,2.36,7.47
2,19,2008,13,15,1.202,2.05,7.54
2,19,2008,13,30,1.308,2.19,7.64
2,19,2008,13,45,1.301,2.33,7.28
2,19,2008,14,0,1.214,2.13,7.38
2,19,2008,14,15,1.312,2.33,7.32
2,19,2008,14,30,1.414,2.51,7.32
2,19,2008,14,45,1.249,2.19,7.39
2,19,2008,15,0,1.287,2.36,7.17
2,19,2008,15,15,1.301,2.33,7.28
2,19,2008,15,30,1.233,2.16,7.39
2,19,2008,15,45,1.342,2.3,7.51
2,19,2008,16,0,1.162,2.05,7.36
2,19,2008,16,15,1.35,2.38,7.35
2,19,2008,16,30,1.293,2.3,7.31
2,19,2008,16,45,1.358,2.41,7.32
2,19,2008,17,0,1.38,2.33,7.59
2,19,2008,17,15,1.294,2.16,7.65
2,19,2008,17,30,1.237,2.13,7.48
2,19,2008,17,45,1.271,2.19,7.48
2,19,2008,18,0,1.364,2.24,7.73
2,19,2008,18,15,1.341,2.22,7.71
2,19,2008,18,30,1.356,2.24,7.7
2,19,2008,18,45,1.379,2.24,7.79
2,19,2008,19,0,1.499,2.38,7.92
2,19,2008,19,15,1.253,2.08,7.7
2,19,2008,19,30,1.282,2.05,7.9
2,19,2008,19,45,1.398,2.24,7.87
2,19,2008,20,0,1.312,2.13,7.8
2,19,2008,20,15,1.551,2.54,7.76
2,19,2008,20,30,1.46,2.3,7.98
2,19,2008,20,45,1.361,2.22,7.79
2,19,2008,21,0,1.422,2.24,7.97
2,19,2008,21,15,1.327,2.16,7.79
2,19,2008,21,30,1.328,2.24,7.59
2,19,2008,21,45,1.6,2.49,8.05
2,19,2008,22,0,1.301,2.16,7.68
2,19,2008,22,15,1.453,2.38,7.75
2,19,2008,22,30,1.363,2.3,7.59
2,19,2008,22,45,1.232,2.1,7.53
2,19,2008,23,0,1.161,2.05,7.36
2,19,2008,23,15,1.251,2.16,7.47
2,19,2008,23,30,1.183,2.19,7.11
2,19,2008,23,45,1.269,2.47,6.86
2,20,2008,0,0,1.119,2.3,6.6
2,20,2008,0,15,1.117,2.24,6.7
2,20,2008,0,30,1.048,2.13,6.65
2,20,2008,0,45,1.124,2.33,6.56
2,20,2008,1,0,0.943,1.99,6.47
2,20,2008,1,15,0.986,2.08,6.49
2,20,2008,1,30,0.926,2.08,6.2
2,20,2008,1,45,0.924,2.08,6.2
2,20,2008,2,0,0.887,1.99,6.2
2,20,2008,2,15,0.863,1.99,6.08
2,20,2008,2,30,0.946,2.13,6.18
2,20,2008,2,45,0.783,1.82,6.04
2,20,2008,3,0,0.83,1.88,6.16
2,20,2008,3,15,0.885,2.05,6.07
2,20,2008,3,30,0.802,1.88,6.02
2,20,2008,3,45,0.863,2.02,6.02
2,20,2008,4,0,0.814,1.85,6.14
2,20,2008,4,15,0.876,1.99,6.14
2,20,2008,4,30,0.88,1.99,6.16
2,20,2008,4,45,0.876,2.05,6.03
2,20,2008,5,0,0.955,2.08,6.34
2,20,2008,5,15,0.946,2.08,6.3
2,20,2008,5,30,1.099,2.19,6.75
2,20,2008,5,45,1.123,2.16,6.92
2,20,2008,6,0,1.059,1.99,7.03
2,20,2008,6,15,1.218,2.24,7.13
2,20,2008,6,30,1.25,2.13,7.54
2,20,2008,6,45,1.33,2.19,7.73
2,20,2008,7,0,1.518,2.55,7.61
2,20,2008,7,15,1.352,2.19,7.82
2,20,2008,7,30,1.388,2.27,7.76
2,20,2008,7,45,1.337,2.19,7.76
2,20,2008,8,0,1.314,2.13,7.81
2,20,2008,8,15,1.112,1.94,7.43
2,20,2008,8,30,1.286,2.24,7.41
2,20,2008,8,45,1.163,1.99,7.51
2,20,2008,9,0,1.249,2.16,7.46
2,20,2008,9,15,1.33,2.33,7.4
2,20,2008,9,30,1.186,2.1,7.33
2,20,2008,9,45,1.326,2.33,7.38
2,20,2008,10,0,1.209,2.13,7.36
2,20,2008,10,15,1.218,2.16,7.33
2,20,2008,10,30,1.308,2.33,7.31
2,20,2008,10,45,1.236,2.16,7.4
2,20,2008,11,0,1.298,2.36,7.21
2,20,2008,11,15,1.311,2.38,7.2
2,20,2008,11,30,1.216,2.19,7.25
2,20,2008,11,45,1.252,2.19,7.41
2,20,2008,12,0,1.296,2.33,7.26
2,20,2008,12,15,1.147,2.1,7.15
2,20,2008,12,30,1.104,2.08,7.03
2,20,2008,12,45,1.238,2.27,7.15
2,20,2008,13,0,1.181,2.19,7.11
2,20,2008,13,15,1.259,2.38,6.99
2,20,2008,13,30,1.081,2.05,6.99
2,20,2008,13,45,1.233,2.24,7.19
2,20,2008,14,0,1.266,2.33,7.14
2,20,2008,14,15,1.149,2.19,6.97
2,20,2008,14,30,1.144,2.13,7.07
2,20,2008,14,45,1.161,2.19,7.02
2,20,2008,15,0,1.182,2.19,7.11
2,20,2008,15,15,1.219,2.22,7.2
2,20,2008,15,30,1.299,2.41,7.09
2,20,2008,15,45,1.23,2.27,7.12
2,20,2008,16,0,1.276,2.36,7.12
2,20,2008,16,15,1.248,2.36,7.01
2,20,2008,16,30,1.193,2.16,7.22
2,20,2008,16,45,1.221,2.19,7.27
2,20,2008,17,0,1.333,2.44,7.17
2,20,2008,17,15,1.316,2.33,7.34
2,20,2008,17,30,1.294,2.3,7.32
2,20,2008,17,45,1.24,2.16,7.42
2,20,2008,18,0,1.296,2.16,7.66
2,20,2008,18,15,1.205,2.08,7.48
2,20,2008,18,30,1.194,2.1,7.36
2,20,2008,18,45,1.368,2.36,7.48
2,20,2008,19,0,1.294,2.13,7.73
2,20,2008,19,15,1.278,2.1,7.73
2,20,2008,19,30,1.449,2.38,7.73
2,20,2008,19,45,1.325,2.16,7.78
2,20,2008,20,0,1.296,2.16,7.66
2,20,2008,20,15,1.305,2.1,7.84
2,20,2008,20,30,1.385,2.33,7.61
2,20,2008,20,45,1.25,2.2,7.36
2,20,2008,21,0,1.221,2.08,7.55
2,20,2008,21,15,1.359,2.24,7.71
2,20,2008,21,30,1.276,2.13,7.65
2,20,2008,21,45,1.355,2.27,7.63
2,20,2008,22,0,1.334,2.24,7.61
2,20,2008,22,15,1.251,2.16,7.47
2,20,2008,22,30,1.198,2.08,7.45
2,20,2008,22,45,1.168,2.1,7.25
2,20,2008,23,0,1.321,2.47,7.06
2,20,2008,23,15,1.215,2.36,6.88
2,20,2008,23,30,1.19,2.3,6.89
2,20,2008,23,45,1.162,2.33,6.72
2,21,2008,0,0,1.114,2.33,6.52
2,21,2008,0,15,0.914,2.05,6.21
2,21,2008,0,30,0.936,2.08,6.25
2,21,2008,0,45,0.977,2.19,6.21
2,21,2008,1,0,0.864,2.05,5.97
2,21,2008,1,15,0.85,1.94,6.14
2,21,2008,1,30,0.904,2.1,6.04
2,21,2008,1,45,0.981,2.3,6.01
2,21,2008,2,0,0.892,2.1,5.99
2,21,2008,2,15,0.91,2.13,6.02
2,21,2008,2,30,0.765,1.91,5.76
2,21,2008,2,45,0.858,2.13,5.77
2,21,2008,3,0,0.795,1.96,5.8
2,21,2008,3,15,0.801,1.96,5.83
2,21,2008,3,30,0.671,1.74,5.6
2,21,2008,3,45,0.792,1.94,5.84
2,21,2008,4,0,0.779,1.94,5.77
2,21,2008,4,15,0.84,2.05,5.85
2,21,2008,4,30,0.846,2.02,5.94
2,21,2008,4,45,0.91,2.13,6.02
2,21,2008,5,0,0.838,1.99,5.96
2,21,2008,5,15,0.919,2.19,5.95
2,21,2008,5,30,0.95,2.1,6.26
2,21,2008,5,45,1.025,2.16,6.48
2,21,2008,6,0,1.092,2.24,6.6
2,21,2008,6,15,1.252,2.3,7.14
2,21,2008,6,30,1.244,2.19,7.37
2,21,2008,6,45,1.283,2.19,7.54
2,21,2008,7,0,1.366,2.24,7.74
2,21,2008,7,15,1.455,2.44,7.63
2,21,2008,7,30,1.357,2.3,7.57
2,21,2008,7,45,1.239,2.08,7.63
2,21,2008,8,0,1.267,2.13,7.61
2,21,2008,8,15,1.238,2.16,7.42
2,21,2008,8,30,1.189,2.13,7.27
2,21,2008,8,45,1.119,1.99,7.31
2,21,2008,9,0,1.262,2.24,7.31
2,21,2008,9,15,1.225,2.27,7.1
2,21,2008,9,30,1.194,2.19,7.16
2,21,2008,9,45,1.067,2.02,6.99
2,21,2008,10,0,1.196,2.24,7.04
2,21,2008,10,15,1.114,2.19,6.81
2,21,2008,10,30,1.127,2.19,6.87
2,21,2008,10,45,1.124,2.1,7.05
2,21,2008,11,0,1.173,2.24,6.94
2,21,2008,11,15,1.149,2.16,7.03
2,21,2008,11,30,1.178,2.27,6.9
2,21,2008,11,45,1.053,2.05,6.86
2,21,2008,12,0,1.091,2.16,6.78
2,21,2008,12,15,1.188,2.33,6.83
2,21,2008,12,30,1.138,2.3,6.68
2,21,2008,12,45,1.118,2.27,6.65
2,21,2008,13,0,1.106,2.22,6.72
2,21,2008,13,15,1.135,2.24,6.78
2,21,2008,13,30,1.051,2.13,6.66
2,21,2008,13,45,1.095,2.22,6.67
2,21,2008,14,0,1.134,2.33,6.6
2,21,2008,14,15,1.236,2.38,6.9
2,21,2008,14,30,1.059,2.13,6.7
2,21,2008,14,45,1.093,2.16,6.79
2,21,2008,15,0,1.148,2.3,6.72
2,21,2008,15,15,1.118,2.27,6.65
2,21,2008,15,30,1.075,2.24,6.53
2,21,2008,15,45,1.024,2.1,6.6
2,21,2008,16,0,1.104,2.13,6.89
2,21,2008,16,15,1.129,2.22,6.82
2,21,2008,16,30,1.096,2.16,6.8
2,21,2008,16,45,1.274,2.33,7.17
2,21,2008,17,0,1.23,2.3,7.06
2,21,2008,17,15,1.235,2.33,7.02
2,21,2008,17,30,1.159,2.16,7.07
2,21,2008,17,45,1.201,2.22,7.12
2,21,2008,18,0,1.291,2.33,7.24
2,21,2008,18,15,1.338,2.3,7.49
2,21,2008,18,30,1.232,2.22,7.26
2,21,2008,18,45,1.243,2.13,7.5
2,21,2008,19,0,1.16,2.08,7.28
2,21,2008,19,15,1.259,2.1,7.65
2,21,2008,19,30,1.24,2.1,7.56
2,21,2008,19,45,1.282,2.3,7.27
2,21,2008,20,0,1.23,2.13,7.45
2,21,2008,20,15,1.298,2.16,7.67
2,21,2008,20,30,1.158,1.99,7.49
2,21,2008,20,45,1.227,2.1,7.51
2,21,2008,21,0,1.213,2.08,7.52
2,21,2008,21,15,1.276,2.24,7.37
2,21,2008,21,30,1.108,1.99,7.26
2,21,2008,21,45,1.153,2.05,7.32
2,21,2008,22,0,1.099,1.99,7.22
2,21,2008,22,15,1.114,2.08,7.08
2,21,2008,22,30,1.311,2.41,7.14
2,21,2008,22,45,1.152,2.13,7.11
2,21,2008,23,0,1.056,2.02,6.94
2,21,2008,23,15,1.067,2.1,6.8
2,21,2008,23,30,1.011,2.02,6.73
2,21,2008,23,45,0.935,1.99,6.43
2,22,2008,0,0,0.913,1.99,6.33
2,22,2008,0,15,0.922,2.1,6.13
2,22,2008,0,30,0.943,2.13,6.17
2,22,2008,0,45,0.828,1.96,5.97
2,22,2008,1,0,0.843,2.02,5.92
2,22,2008,1,15,0.699,1.74,5.77
2,22,2008,1,30,0.754,1.91,5.7
2,22,2008,1,45,0.818,2.13,5.58
2,22,2008,2,0,0.683,1.8,5.55
2,22,2008,2,15,0.752,1.91,5.69
2,22,2008,2,30,0.716,1.88,5.55
2,22,2008,2,45,0.697,1.85,5.51
2,22,2008,3,0,0.673,1.74,5.61
2,22,2008,3,15,0.625,1.68,5.46
2,22,2008,3,30,0.703,1.83,5.59
2,22,2008,3,45,0.692,1.77,5.66
2,22,2008,4,0,0.65,1.76,5.45
2,22,2008,4,15,0.837,2.08,5.78
2,22,2008,4,30,0.822,1.99,5.87
2,22,2008,4,45,0.836,2.02,5.89
2,22,2008,5,0,0.855,1.94,6.16
2,22,2008,5,15,0.926,2.05,6.27
2,22,2008,5,30,1.038,2.13,6.6
2,22,2008,5,45,1.011,1.96,6.87
2,22,2008,6,0,1.236,2.24,7.21
2,22,2008,6,15,1.268,2.13,7.61
2,22,2008,6,30,1.425,2.3,7.84
2,22,2008,6,45,1.39,2.16,8.05
2,22,2008,7,0,1.516,2.3,8.19
